,Class,BN,Designation,Category,Legal Name,City,Province,Postal Code,Charity_Internal_Division,Charity_Internal_Division_BN,Gross_Revenue_External_Fundraisers,Amount_Spent_External_Fundraisers,Total_Assets,Total_Liabilities,Total_tax_recieptable_gifts,Total_from_other_charities,Fundraising_Revenue_Sale_of_Goods,Total_Revenue,Total_Charitable_Program_Expenditures,Management_and_Admin_Expenditures,Total_Expenditures,N_Compensated_Full_Time_Positions,Total_Compensation_Expenditures,Accounting_Basis,id
20549,False,100021237RR0001,Charitable Organization,Teaching Institutions,Académie Lafontaine inc.,ST-JÉRÔME,QC,J7Y4M7,False,,,,29847221.0,21034791.0,403739.0,,753535.0,22647237.0,14579274.0,3060951.0,21492123.0,132.0,15984912.0,Accrual,
45852,,100021252RR0001,Charitable Organization,Teaching Institutions,COLLEGE LAURENTIEN INC.,VAL-MORIN,QC,J0T2R0,False,,,,841313.0,4108305.0,14800.0,,966127.0,3748214.0,3752977.0,153437.0,3997589.0,28.0,3179615.0,Accrual,0
8994,False,100040781RR0001,Charitable Organization,Organizations Relieving Poverty,ACTION COMMUNAUTAIRE BENEVOLE DE SAINT-JEAN-BAPTISTE INC.,DRUMMONDVILLE,QC,J2C4C8,False,,,,37356.0,4635.0,,,,167690.0,29570.0,909.0,177636.0,1.0,46910.0,Accrual,
4066,False,100042373RR0001,Charitable Organization,Organizations Relieving Poverty,Action santé de Pointe St-Charles,MONTREAL,QC,H3K1X5,False,,,,61821.0,9480.0,22081.0,18000.0,2074.0,220687.0,217403.0,6840.0,224243.0,1.0,196786.0,Accrual,
2227,False,100042670RR0001,Charitable Organization,Community Resource,Action Travail des femmes du Québec Inc.,MONTREAL,QC,H3N1Y9,False,,,,109266.0,9934.0,1550.0,98440.0,,336806.0,,,287536.0,5.0,249958.0,Accrual,
16938,False,100044452RR0001,Charitable Organization,Arts,MANITOBA THEATRE FOR YOUNG PEOPLE INC.,WINNIPEG,MB,R3C4X1,False,,,,4442691.0,2150162.0,27582.0,21610.0,928514.0,2264123.0,1324984.0,835410.0,2382886.0,15.0,1094876.0,Accrual,
31013,False,100048800RR0001,Charitable Organization,Judaism,ADAS ISRAEL CONGREGATION OF HAMILTON,HAMILTON,ON,L8S1X2,False,,,,3027283.0,401258.0,1760853.0,51833.0,,1980962.0,939847.0,64770.0,1006947.0,6.0,387142.0,Accrual,
27287,False,100071927RR0001,Charitable Organization,Support of schools and education,A.F.S. INTERCULTURE CANADA,MONTREAL,QC,H2L1L3,False,,,,2715345.0,1661679.0,426070.0,,,5077844.0,1135758.0,253792.0,5304289.0,12.0,582041.0,Accrual,
49465,False,100072586RR0001,Charitable Organization,Organizations Relieving Poverty,AGA KHAN FOUNDATION CANADA / FONDATION AGA KHAN CANADA,OTTAWA,ON,K1N1K6,False,,,,528080420.0,13412810.0,51375422.0,1008230.0,,93063373.0,60061467.0,2541893.0,112502466.0,61.0,6995236.0,Accrual,
58240,False,100072933RR0001,Charitable Organization,Foundations,AGASSIZ CHILD CARE CENTRE INC,WINNIPEG,MB,R3T5W6,False,,,,177079.0,58374.0,8478.0,,,578313.0,565621.0,,565621.0,10.0,560683.0,Accrual,
3459,False,100075415RR0001,Charitable Organization,Community Resource,Centre de la petite enfance Calou,SAINT-JOSEPH-DE-BEAUCE,QC,G0S2V0,False,,,,3581251.0,2491834.0,,,377417.0,3247368.0,2869598.0,490950.0,3360548.0,52.0,2964464.0,Accrual,
45857,,100075423RR0001,Charitable Organization,Organizations Relieving Poverty,"CENTRE DE LA PETITE ENFANCE CHEZ MA TANTE""""",FATIMA,QC,G4T2S8,False,,,,1672646.0,1491944.0,,,122897.0,2402187.0,1924579.0,396339.0,2320918.0,17.0,767615.0,Accrual,1
6254,False,100075472RR0001,Charitable Organization,Community Resource,CENTRE DE LA PETITE ENFANCE L'AURORE BOREALE,RIMOUSKI,QC,G5L6J9,False,,,,2756264.0,1751695.0,,,81482.0,6596340.0,5931371.0,573401.0,6504772.0,22.0,1017793.0,Accrual,
45963,False,100090059RR0001,Charitable Organization,Community Resource,AIDE AUX PERSONNES OBESES HANDICAPEES DU QUEBEC,MONTREAL,QC,H1A3V2,False,,,,6034.0,400.0,,,,,393.0,1254.0,1647.0,,,Accrual,
3434,False,100090091RR0001,Charitable Organization,Community Resource,INTÉGRATION COMPÉTENCES,BELOEIL,QC,J3G3R2,False,,,,1253046.0,662428.0,,,,2018509.0,1819667.0,81244.0,1900911.0,1.0,1157493.0,Accrual,
52807,,100096585RR0001,Charitable Organization,Public Amenities,SAINT JOHN ARTS CENTRE INC./CENTRE DES ARTS DE SAINT JOHN INC.,SAINT JOHN,NB,E2L3G6,False,,,,53910.0,33481.0,26373.0,,,301531.0,304193.0,,304193.0,4.0,192399.0,Accrual,2
46552,False,100107598RR0001,Charitable Organization,Education in the arts,À LA PORTÉE DES SONS INC.,DRUMMONDVILLE,QC,J2C2P7,False,,,,45119.0,21888.0,242.0,,84361.0,111091.0,91478.0,21193.0,112671.0,1.0,64045.0,Accrual,
15750,False,100110626RR0001,Charitable Organization,Organizations Relieving Poverty,ALBERNI VALLEY SENIOR CITIZENS HOMES SOCIETY,PORT ALBERNI,BC,V9Y4C9,False,,,,6335510.0,2051785.0,3936.0,100.0,,661202.0,571713.0,21202.0,592915.0,1.0,56158.0,Accrual,
14448,,100148196RR0001,Charitable Organization,Educational organizations not elsewhere categorized,L'ALLIANCE FRANCAISE DU MANITOBA INC.,WINNIPEG,MB,R3M0Y5,False,,,,515474.0,144366.0,,1000.0,368957.0,540447.0,432871.0,70573.0,505721.0,3.0,372815.0,Accrual,3
27628,False,100161512RR0001,Charitable Organization,Public Amenities,ALONSA AND DISTRICT RECREATIONAL CO-OP INC.,ALONSA,MB,R0H0A0,False,,,,122358.0,,400.0,,,39545.0,25442.0,,25442.0,,,Cash,
46560,False,100172188RR0001,Charitable Organization,Community Resource,Justice Alternative et Médiation,GRANBY,QC,J2G7P6,False,,,,161948.0,93237.0,,,360.0,350083.0,317500.0,30037.0,347537.0,4.0,261672.0,Accrual,
46561,False,100192194RR0001,Charitable Organization,Public Amenities,Amitié Soleil Inc.,MONTREAL,QC,H3J1Z3,False,,,,178034.0,43522.0,300.0,239270.0,6912.0,545080.0,429354.0,107545.0,536899.0,7.0,334592.0,Accrual,
65746,False,100193457RR0001,Charitable Organization,Community Resource,Amnistie Internationale Section Canadienne Francophone,MONTRÉAL,QC,H2X3V4,True,,587879.0,693816.0,1584658.0,1120463.0,1920450.0,1516.0,9916.0,2191895.0,1433848.0,240317.0,2252247.0,19.0,861201.0,Accrual,
66205,False,100220417RR0001,Charitable Organization,Arts,INTERNATIONAL RESOURCE CENTRE FOR PERFORMING ARTISTS,TORONTO,ON,M5A3H5,False,,106220.0,3325.0,69757.0,54577.0,241016.0,,,241016.0,222870.0,18492.0,227024.0,,,Accrual,
52574,False,100221910RR0001,Charitable Organization,Community Resource,SPRINGFIELD LEARNING CENTRES INCORPORATED,ANOLA,MB,R0E0A0,False,,,,1011871.0,913624.0,600.0,,251401.0,546018.0,551961.0,21846.0,582038.0,10.0,612610.0,Accrual,
14958,False,100249168RR0001,Charitable Organization,Public Amenities,ARCHIVES GAIES DU QUEBEC,MONTREAL,QC,H2L3K5,False,,,,690669.0,,71236.0,,,101548.0,90108.0,,90108.0,6.0,104253.0,Accrual,
75205,False,100295138RR0001,Charitable Organization,Christianity,ASSEMBLEE CHRETIENNE LOCALE DE CHATEAUGUAY INC.,BEAUHARNOIS,QC,J6N2R1,False,,,,48855.0,18115.0,,,,125560.0,112124.0,16703.0,128827.0,,,Accrual,
33546,False,100295823RR0001,Charitable Organization,Organizations Relieving Poverty,ASSINIBOINE EARLY LEARNING CENTRE INC.,BRANDON,MB,R7A2A9,False,,,,123912.0,56512.0,,,133934.0,331362.0,326558.0,16937.0,349050.0,18.0,712423.0,Accrual,
46568,,100296318RR0001,Charitable Organization,Public Amenities,Association d'entraide des personnes handicapées physiques de Montréal (ALPHA),MONTREAL,QC,H1A1A8,False,,,,137913.0,137913.0,2400.0,,,432854.0,,,426003.0,6.0,,Accrual,4
5560,False,100296490RR0001,Charitable Organization,Core Health Care,ASSOCIATION DES ACCIDENTES CEREBROVASCULAIRES OU TRAUMATISESCRANIENS DE L'ESTRIE (L'ACTE),SHERBROOKE,QC,J1G1W5,False,,,,789186.0,739790.0,12155.0,,,594896.0,78029.0,,577975.0,19.0,497781.0,Accrual,
811,False,100296532RR0002,Charitable Organization,Supportive Health Care,ASSOCIATION DES BÉNÉVOLES DU CHSLD FRANÇOIS-SÉGUENOT,POINTE-AUX-TREMBLES,QC,H1A1T5,False,,,,15087.0,0.0,875.0,0.0,,16043.0,17998.0,1482.0,19480.0,0.0,6519.0,Cash,
72374,False,100299163RR0001,Charitable Organization,Other Religions,Association Bouddhique Thuyen-Ton,MONTRÉAL,QC,H2S2W4,False,,,,1466655.0,83109.0,138408.0,,,190655.0,146539.0,23132.0,169671.0,1.0,12746.0,Accrual,
795,False,100300219RR0001,Charitable Organization,Supportive Health Care,Les auxiliaires bénévoles du centre hospitalier universitaire de Sherbrooke,SHERBROOKE,QC,J1G2E8,False,,,,139780.0,7575.0,13561.0,,87044.0,131014.0,169104.0,1157.0,178887.0,,21438.0,Accrual,
4028,False,100300748RR0001,Charitable Organization,Organizations Relieving Poverty,Association d'entraide vive chez-nous,LA MALBAIE,QC,G5A2K9,False,,,,325869.0,1748.0,,,,127340.0,122569.0,528.0,123097.0,5.0,173865.0,Accrual,
46569,False,100300979RR0001,Charitable Organization,Core Health Care,REGROUPEMENT DES BENEVOLES DU CHSLD JOSEPH-FRANCOIS-PERRAULT,MONTREAL,QC,H2A2Z8,False,,,,5833.0,,200.0,3600.0,7039.0,23053.0,20838.0,400.0,21238.0,,,Cash,
18117,,100301290RR0001,Charitable Organization,Arts,L'Association Des Orchestres De Jeunes De La Montérégie Inc.,SAINT-LAMBERT,QC,J4P3S8,False,,,,119387.0,13317.0,3075.0,,36418.0,116805.0,82220.0,8170.0,94690.0,,,Accrual,5
13532,False,100301878RR0001,Charitable Organization,Community Resource,L'ASSOCIATION DES PERSONNES HANDICAPEES MATAWINIE APHM INC.,RAWDON,QC,J0K1S0,False,,,,406838.0,79154.0,2310.0,9210.0,10632.0,356238.0,329178.0,32840.0,362018.0,5.0,271575.0,Accrual,
46572,False,100301894RR0001,Charitable Organization,Core Health Care,Association des hypoglycémiques du québec inc.,TERREBONNE,QC,J6W4P3,False,,,,9107.0,225.0,,,,35398.0,35740.0,4663.0,40403.0,1.0,13830.0,Accrual,
46573,False,100302702RR0001,Charitable Organization,Core Health Care,Moelle épinière et motricité Québec,MONTREAL,QC,H1S3B1,True,886676592RR0001,,,538274.0,338594.0,7365.0,,,1461568.0,1257349.0,159705.0,1417054.0,21.0,1721613.0,Accrual,
12483,,100302801RR0001,Charitable Organization,Organizations Relieving Poverty,ASSOCIATION DES PERSONNES HANDICAPÉES DE BRANDON,SAINT-GABRIEL-DE-BRANDON,QC,J0K2N0,False,,,,45467.0,26290.0,200.0,5985.0,,167111.0,163507.0,12319.0,175875.0,7.0,146773.0,Accrual,6
12408,False,100302827RR0001,Charitable Organization,Organizations Relieving Poverty,Association des personnes handicapées de la vallée du Richelieu,BELOEIL,QC,J3G2H5,False,,,,26690.0,11119.0,,,,117755.0,110760.0,37025.0,147785.0,2.0,86970.0,Accrual,
